Log file created: 2023-05-13 23:55:27
---------------------------------------
Ticks = 610      <23980> <DynamicLink> <5> Increase wait time to 2
Ticks = 625      <13164> <IR.InitIpp> <5> ippInit warning: ippStsNonIntelCpu: The target CPU is not Genuine Intel
Ticks = 625      <13164> <IR.InitIpp> <5> ippInit warning: ippStsNonIntelCpu: The target CPU is not Genuine Intel
Ticks = 625      <13164> <IR.InitIpp> <5> ippInit warning: ippStsNonIntelCpu: The target CPU is not Genuine Intel
Ticks = 1781      <10272> <AnywhereLocalClient> <5> Local Hub HTTP port retrieved, port: 5657
Ticks = 4172      <10272> <GPUFoundation> <5> Starting loading modules for device: CUDA(0)
Ticks = 4469      <13164> <DisplaySurface> <5> directx display init failed with error: -1598816154
Ticks = 5813      <1740> <GPUFoundation> <5> Loading modules took: 1.64014s, device: CUDA(0)
Ticks = 5891      <13164> <AMEApp> <0> Time taken to load MediaCore plugins: 1419.5 milliseconds.
Ticks = 6547      <13164> <AMEApp> <1> Entering RunEventLoop
Ticks = 307063      <13164> <NGL> <5> GoCart invocation failed: 4
Ticks = 707641      <23980> <LoadProject> <0> 0.0409339s
Ticks = 707656      <23980> <IR.InitIpp> <5> ippInit warning: ippStsNonIntelCpu: The target CPU is not Genuine Intel
Ticks = 707860      <23980> <MCCallback> <5> wrn_printf: Table A1:Col1 violation. SPS with seq_parameter_set_id = 0 specifies MBs processing rate 1944000 that exceeds level limit 983040 for level_idc = 51

Ticks = 708203      <23980> <MCCallback> <5> wrn_printf: Table A1:Col1 violation. SPS with seq_parameter_set_id = 0 specifies MBs processing rate 1944000 that exceeds level limit 983040 for level_idc = 51

Ticks = 708610      <23980> <MCCallback> <5> wrn_printf: Table A1:Col1 violation. SPS with seq_parameter_set_id = 0 specifies MBs processing rate 1944000 that exceeds level limit 983040 for level_idc = 51

Ticks = 711485      <15868> <ExporterMPEG4> <5> Looking for H/W codecs for H.264
Ticks = 711610      <15868> <EncoderStateH264> <5> Found H/W codec for H.264 - nVidia H.264 Codec
Ticks = 711641      <23980> <MCCallback> <5> wrn_printf: Table A1:Col1 violation. SPS with seq_parameter_set_id = 0 specifies MBs processing rate 1944000 that exceeds level limit 983040 for level_idc = 51

