TimeInSeconds,FrameTimeMs,FPS
0.00000,8.94,111.84
0.00894,9.45,105.79
0.01839,9.81,101.94
0.02820,9.00,111.08
0.03721,9.83,101.71
0.04704,12.25,81.60
0.05929,6.77,147.63
0.06607,8.97,111.47
0.07504,8.97,111.52
0.08400,10.43,95.92
0.09443,10.91,91.64
0.10534,7.05,141.76
0.11240,9.21,108.56
0.12161,9.59,104.26
0.13120,9.86,101.42
0.14106,11.12,89.91
0.15218,7.21,138.62
0.15939,8.83,113.28
0.16822,8.94,111.88
0.17716,10.20,98.06
0.18736,8.94,111.90
0.19630,10.30,97.13
0.20659,8.95,111.70
0.21554,8.64,115.70
0.22419,10.09,99.13
0.23427,10.25,97.60
0.24452,8.83,113.25
0.25335,9.99,100.08
0.26334,9.00,111.09
0.27234,10.16,98.44
0.28250,8.98,111.35
0.29148,9.33,107.18
0.30081,8.99,111.20
0.30981,8.56,116.84
0.31836,9.93,100.73
0.32829,10.17,98.36
0.33846,8.97,111.54
0.34742,9.00,111.08
0.35643,8.91,112.27
0.36533,9.30,107.57
0.37463,10.96,91.27
0.38559,9.20,108.68
0.39479,9.04,110.57
0.40383,8.55,116.92
0.41239,9.01,110.94
0.42140,10.00,100.01
0.43140,10.26,97.51
0.44165,9.00,111.17
0.45065,8.84,113.14
0.45949,9.34,107.06
0.46883,9.71,102.98
0.47854,10.30,97.05
0.48884,8.98,111.32
0.49783,8.71,114.84
0.50653,9.02,110.93
0.51555,10.04,99.57
0.52559,8.99,111.19
0.53459,9.94,100.59
0.54453,8.95,111.78
0.55347,9.16,109.16
0.56263,9.99,100.08
0.57263,9.45,105.82
0.58208,9.79,102.15
0.59187,8.91,112.27
0.60077,8.74,114.40
0.60951,10.29,97.17
0.61980,9.07,110.27
0.62887,9.70,103.06
0.63858,8.99,111.24
0.64757,9.20,108.73
0.65676,9.98,100.25
0.66674,9.25,108.16
0.67598,9.12,109.60
0.68511,9.55,104.74
0.69466,8.98,111.30
0.70364,10.10,99.03
0.71374,9.06,110.39
0.72280,8.93,112.01
0.73172,9.91,100.86
0.74164,10.20,98.06
0.75184,9.00,111.06
0.76084,10.37,96.48
0.77121,8.80,113.60
0.78001,8.69,115.04
0.78870,9.13,109.55
0.79783,10.13,98.71
0.80796,9.82,101.79
0.81779,25.03,39.95
0.84282,4.43,225.83
0.84725,5.86,170.53
0.85311,7.86,127.16
0.86097,7.36,135.96
0.86833,8.73,114.55
0.87706,8.70,114.96
0.88576,9.73,102.79
0.89549,9.96,100.38
0.90545,9.11,109.77
0.91456,8.83,113.22
0.92339,9.05,110.46
0.93244,10.06,99.43
0.94250,9.04,110.60
0.95154,10.30,97.06
0.96185,9.17,109.07
0.97101,8.46,118.27
0.97947,9.93,100.73
0.98940,10.35,96.60
0.99975,10.03,99.72
1.00978,7.81,127.96
1.01759,9.10,109.92
1.02669,10.06,99.42
1.03675,8.86,112.81
1.04561,10.26,97.45
1.05587,10.00,99.96
1.06588,8.61,116.08
1.07449,10.11,98.86
1.08461,8.93,111.93
1.09354,9.10,109.94
1.10264,9.84,101.59
1.11248,9.06,110.40
1.12154,10.08,99.20
1.13162,10.01,99.95
1.14163,8.27,120.97
1.14989,9.07,110.20
1.15897,8.78,113.86
1.16775,9.79,102.12
1.17754,10.13,98.74
1.18767,8.44,118.42
1.19611,9.80,102.08
1.20591,8.94,111.83
1.21485,10.46,95.61
1.22531,8.81,113.47
1.23412,10.21,97.96
1.24433,8.97,111.44
1.25331,8.79,113.79
1.26209,10.98,91.06
1.27308,8.16,122.51
1.28124,10.50,95.22
1.29174,7.95,125.79
1.29969,8.89,112.48
1.30858,10.31,96.96
1.31889,9.21,108.58
1.32810,10.01,99.90
1.33811,8.91,112.25
1.34702,8.71,114.84
1.35573,10.04,99.61
1.36577,9.13,109.55
1.37490,9.94,100.62
1.38484,8.92,112.08
1.39376,8.91,112.29
1.40266,9.32,107.33
1.41198,9.94,100.59
1.42192,10.22,97.88
1.43214,9.04,110.67
1.44118,8.84,113.10
1.45002,8.96,111.59
1.45898,10.05,99.47
1.46903,9.94,100.63
1.47897,8.89,112.44
1.48786,10.00,99.98
1.49786,8.24,121.39
1.50610,9.86,101.45
1.51596,9.33,107.23
1.52529,8.95,111.69
1.53424,9.65,103.61
1.54389,8.97,111.49
