Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,8155
    2, 9.352, 9.352,7395
    3,18.755, 9.403,7395
    4,27.822, 9.067,7395
    5,37.168, 9.346,7395
    6,46.942, 9.774,7395
    7,55.886, 8.944,7395
    8,64.941, 9.055,7395
    9,74.336, 9.395,7395
   10,83.565, 9.229,7395
   11,92.834, 9.269,7395
   12,102.444, 9.610,7395
   13,111.532, 9.088,7395
   14,121.125, 9.593,7395
   15,130.362, 9.237,7395
   16,139.826, 9.464,7395
   17,148.956, 9.130,7395
   18,158.306, 9.350,7395
   19,168.261, 9.955,7395
   20,177.749, 9.488,7395
   21,187.147, 9.398,7395
   22,196.457, 9.310,7395
   23,205.671, 9.214,7395
   24,215.144, 9.473,7395
   25,224.587, 9.443,7395
   26,233.786, 9.199,7395
   27,243.335, 9.549,7395
   28,252.646, 9.311,7395
   29,261.959, 9.313,7395
   30,271.158, 9.199,7395
   31,280.482, 9.324,7395
   32,289.902, 9.420,7395
   33,299.239, 9.337,7395
   34,308.527, 9.288,7395
   35,317.971, 9.444,7395
   36,327.397, 9.426,7395
   37,336.654, 9.257,7395
   38,346.092, 9.438,7395
   39,355.270, 9.178,7395
   40,364.696, 9.426,7395
   41,374.334, 9.638,7395
   42,383.762, 9.428,7395
   43,393.085, 9.323,7395
   44,402.411, 9.326,7395
   45,411.808, 9.397,7395
   46,421.138, 9.330,7395
   47,430.563, 9.425,7395
   48,439.879, 9.316,7395
   49,449.224, 9.345,7395
   50,458.579, 9.355,7395
   51,467.973, 9.394,7395
   52,477.312, 9.339,7395
   53,486.856, 9.544,7395
   54,496.157, 9.301,7395
   55,505.597, 9.440,7395
   56,515.026, 9.429,7395
   57,524.370, 9.344,7395
   58,533.755, 9.385,7395
   59,543.285, 9.530,7395
   60,552.689, 9.404,7395
   61,562.157, 9.468,7395
   62,571.768, 9.611,7395
   63,580.925, 9.157,7395
   64,590.285, 9.360,7395
   65,599.669, 9.384,7394
   66,609.837,10.168,7394
   67,619.279, 9.442,7394
   68,628.567, 9.288,7394
   69,638.014, 9.447,7394
   70,647.213, 9.199,7394
   71,656.804, 9.591,7394
   72,666.110, 9.306,7394
   73,675.681, 9.571,7394
   74,685.038, 9.357,7394
   75,694.501, 9.463,7394
   76,704.089, 9.588,7394
   77,713.926, 9.837,7394
   78,723.479, 9.553,7394
   79,732.964, 9.485,7394
   80,742.384, 9.420,7394
   81,751.772, 9.388,7394
   82,761.459, 9.687,7394
   83,770.685, 9.226,7394
   84,780.152, 9.467,7394
   85,789.682, 9.530,7394
   86,798.935, 9.253,7394
   87,808.367, 9.432,7394
   88,817.866, 9.499,7394
   89,827.511, 9.645,7394
   90,836.861, 9.350,7394
   91,846.278, 9.417,7394
   92,855.962, 9.684,7394
   93,865.270, 9.308,7394
   94,875.011, 9.741,7394
   95,884.601, 9.590,7394
   96,893.891, 9.290,7394
   97,903.575, 9.684,7394
   98,912.854, 9.279,7394
   99,922.456, 9.602,7394
  100,931.894, 9.438,7394
  101,941.417, 9.523,7394
  102,951.022, 9.605,7394
  103,960.618, 9.596,7394
  104,970.205, 9.587,7394
  105,979.693, 9.488,7394
  106,989.326, 9.633,7394
  107,998.742, 9.416,7394
  108,1008.628, 9.886,7394
  109,1017.866, 9.238,7394
  110,1027.511, 9.645,7394
  111,1037.097, 9.586,7394
  112,1046.572, 9.475,7394
  113,1056.108, 9.536,7394
  114,1065.560, 9.452,7394
  115,1075.162, 9.602,7394
  116,1084.847, 9.685,7394
  117,1094.365, 9.518,7394
  118,1104.087, 9.722,7394
  119,1113.967, 9.880,7394
  120,1123.541, 9.574,7394
  121,1132.967, 9.426,7394
  122,1142.792, 9.825,7394
  123,1152.167, 9.375,7394
  124,1161.607, 9.440,7394
  125,1171.197, 9.590,7394
  126,1180.827, 9.630,7394
  127,1190.188, 9.361,7394
  128,1199.882, 9.694,7394
  129,1209.476, 9.594,7394
  130,1219.032, 9.556,7394
  131,1228.436, 9.404,7394
  132,1238.137, 9.701,7394
  133,1247.731, 9.594,7394
  134,1257.341, 9.610,7394
  135,1266.792, 9.451,7394
  136,1276.227, 9.435,7394
  137,1285.857, 9.630,7394
  138,1295.359, 9.502,7394
  139,1304.964, 9.605,7394
  140,1314.427, 9.463,7394
  141,1324.094, 9.667,7394
  142,1333.657, 9.563,7394
  143,1343.196, 9.539,7394
  144,1352.842, 9.646,7394
  145,1362.314, 9.472,7394
  146,1371.962, 9.648,7394
  147,1381.485, 9.523,7394
  148,1391.230, 9.745,7394
  149,1400.746, 9.516,7394
  150,1410.258, 9.512,7394
  151,1419.952, 9.694,7394
  152,1429.448, 9.496,7394
  153,1439.039, 9.591,7394
  154,1448.580, 9.541,7394
  155,1458.184, 9.604,7394
  156,1467.623, 9.439,7394
  157,1477.216, 9.593,7394
  158,1486.822, 9.606,7394
  159,1496.456, 9.634,7394
  160,1506.079, 9.623,7394
  161,1515.633, 9.554,7394
  162,1525.387, 9.754,7394
  163,1534.647, 9.260,7394
  164,1544.417, 9.770,7394
  165,1553.945, 9.528,7394
  166,1563.475, 9.530,7394
  167,1573.047, 9.572,7394
  168,1582.528, 9.481,7394
  169,1592.145, 9.617,7394
  170,1601.670, 9.525,7394
  171,1611.611, 9.941,7394
  172,1621.257, 9.646,7394
  173,1630.829, 9.572,7394
  174,1640.205, 9.376,7394
  175,1649.896, 9.691,7394
  176,1659.406, 9.510,7394
  177,1668.947, 9.541,7394
  178,1678.591, 9.644,7394
  179,1688.066, 9.475,7394
  180,1697.784, 9.718,7394
  181,1707.484, 9.700,7394
  182,1717.090, 9.606,7394
  183,1726.529, 9.439,7394
  184,1735.940, 9.411,7394
  185,1745.508, 9.568,7394
  186,1755.162, 9.654,7394
  187,1765.330,10.168,7394
  188,1774.988, 9.658,7394
  189,1784.725, 9.737,7394
  190,1794.343, 9.618,7394
  191,1803.927, 9.584,7394
  192,1813.437, 9.510,7394
  193,1822.857, 9.420,7394
  194,1832.330, 9.473,7394
  195,1842.123, 9.793,7394
  196,1851.672, 9.549,7394
  197,1861.068, 9.396,7394
  198,1870.837, 9.769,7394
  199,1880.128, 9.291,7394
  200,1889.874, 9.746,7394
  201,1899.408, 9.534,7394
  202,1908.779, 9.371,7394
  203,1918.362, 9.583,7394
  204,1927.672, 9.310,7394
  205,1937.442, 9.770,7394
  206,1946.854, 9.412,7394
  207,1956.521, 9.667,7394
  208,1965.946, 9.425,7394
  209,1975.469, 9.523,7394
  210,1984.757, 9.288,7394
  211,1994.295, 9.538,7394
  212,2004.065, 9.770,7394
  213,2013.492, 9.427,7394
  214,2022.972, 9.480,7394
  215,2032.465, 9.493,7394
