Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,7038
    2,19.689,19.689,7548
    3,39.693,20.004,7556
    4,59.939,20.246,7564
    5,80.183,20.244,7571
    6,100.525,20.342,7578
    7,120.880,20.355,7584
    8,141.460,20.580,7590
    9,161.645,20.185,7597
   10,181.816,20.171,7604
   11,202.320,20.504,7611
   12,222.785,20.465,7617
   13,243.169,20.384,7624
   14,263.378,20.209,7629
   15,283.602,20.224,7639
   16,304.074,20.472,7667
   17,323.881,19.807,7695
   18,343.682,19.801,7705
   19,363.876,20.194,7714
   20,383.498,19.622,7723
   21,403.289,19.791,7734
   22,423.676,20.387,7739
   23,443.675,19.999,7752
   24,463.614,19.939,7761
   25,483.895,20.281,7772
   26,504.101,20.206,7784
   27,524.728,20.627,7795
   28,544.542,19.814,7805
   29,564.507,19.965,7812
   30,584.461,19.954,7821
   31,604.597,20.136,7832
   32,625.040,20.443,7842
   33,645.343,20.303,7850
   34,665.146,19.803,7859
   35,685.242,20.096,7867
   36,705.421,20.179,7877
   37,725.435,20.014,7887
   38,745.552,20.117,7895
   39,765.801,20.249,7906
   40,786.149,20.348,7914
   41,806.310,20.161,7923
   42,826.368,20.058,7934
   43,846.287,19.919,7940
   44,866.285,19.998,7948
   45,886.383,20.098,7956
   46,906.935,20.552,7968
   47,926.905,19.970,7980
   48,946.786,19.881,7987
   49,967.596,20.810,7998
   50,987.670,20.074,8007
   51,1007.811,20.141,8018
   52,1027.807,19.996,8023
   53,1047.778,19.971,8033
   54,1068.465,20.687,8043
   55,1088.544,20.079,8056
   56,1108.737,20.193,8064
   57,1128.747,20.010,8073
   58,1149.896,21.149,8080
   59,1169.875,19.979,8086
   60,1189.902,20.027,8096
   61,1210.238,20.336,8101
   62,1230.597,20.359,8114
   63,1251.002,20.405,8121
   64,1271.342,20.340,8130
   65,1291.533,20.191,8137
   66,1311.959,20.426,8149
   67,1331.906,19.947,8157
   68,1352.080,20.174,8167
   69,1372.188,20.108,8172
   70,1392.381,20.193,8182
   71,1412.554,20.173,8191
   72,1432.669,20.115,8202
   73,1452.787,20.118,8211
   74,1472.975,20.188,8213
   75,1492.952,19.977,8222
   76,1513.560,20.608,8230
   77,1534.418,20.858,8240
   78,1554.213,19.795,8249
   79,1574.497,20.284,8260
   80,1594.627,20.130,8266
   81,1615.116,20.489,8279
   82,1635.358,20.242,8287
   83,1655.918,20.560,8297
   84,1676.349,20.431,8309
   85,1696.276,19.927,8320
   86,1716.199,19.923,8328
   87,1736.536,20.337,8338
   88,1756.832,20.296,8344
   89,1777.253,20.421,8355
   90,1797.585,20.332,8365
   91,1817.779,20.194,8373
   92,1837.954,20.175,8384
   93,1857.971,20.017,8392
   94,1877.927,19.956,8402
   95,1898.020,20.093,8405
   96,1917.912,19.892,8412
   97,1938.115,20.203,8421
   98,1958.081,19.966,8432
   99,1978.054,19.973,8439
  100,1998.252,20.198,8450
  101,2018.269,20.017,8458
  102,2038.629,20.360,8473
  103,2058.522,19.893,8484
  104,2078.844,20.322,8493
  105,2099.132,20.288,8494
  106,2119.311,20.179,8503
  107,2139.209,19.898,8511
  108,2159.581,20.372,8519
  109,2179.701,20.120,8530
  110,2199.935,20.234,8543
  111,2220.629,20.694,8550
  112,2240.704,20.075,8560
  113,2261.072,20.368,8568
  114,2281.206,20.134,8576
  115,2301.358,20.152,8584
  116,2321.640,20.282,8593
  117,2341.565,19.925,8593
  118,2361.564,19.999,8602
  119,2381.614,20.050,8608
  120,2401.770,20.156,8620
  121,2421.877,20.107,8630
  122,2442.023,20.146,8638
  123,2462.143,20.120,8648
  124,2482.354,20.211,8656
  125,2502.302,19.948,8667
  126,2522.725,20.423,8677
  127,2542.972,20.247,8684
  128,2564.129,21.157,8695
  129,2584.329,20.200,8703
  130,2604.269,19.940,8712
  131,2624.535,20.266,8720
  132,2644.860,20.325,8730
  133,2665.107,20.247,8739
  134,2685.098,19.991,8749
  135,2705.237,20.139,8756
  136,2725.757,20.520,8765
  137,2745.602,19.845,8775
  138,2765.947,20.345,8786
  139,2786.102,20.155,8797
  140,2806.237,20.135,8804
  141,2826.306,20.069,8814
  142,2846.327,20.021,8816
  143,2866.111,19.784,8816
  144,2886.451,20.340,8824
  145,2906.321,19.870,8833
  146,2926.428,20.107,8842
  147,2946.747,20.319,8851
  148,2966.764,20.017,8860
  149,2987.106,20.342,8870
  150,3007.019,19.913,8881
  151,3027.330,20.311,8889
  152,3047.398,20.068,8899
  153,3067.946,20.548,8909
  154,3087.752,19.806,8911
  155,3108.445,20.693,8919
  156,3129.176,20.731,8930
  157,3149.337,20.161,8935
  158,3169.675,20.338,8939
  159,3189.633,19.958,8946
  160,3209.880,20.247,8955
  161,3230.008,20.128,8966
  162,3250.527,20.519,8978
  163,3270.589,20.062,8983
  164,3290.741,20.152,8987
  165,3311.135,20.394,9000
  166,3331.432,20.297,9009
  167,3352.011,20.579,9025
  168,3372.576,20.565,9038
  169,3392.661,20.085,9041
  170,3413.335,20.674,9062
  171,3434.089,20.754,9075
  172,3454.983,20.894,9084
  173,3476.434,21.451,9098
  174,3496.684,20.250,9101
  175,3516.718,20.034,9101
  176,3537.574,20.856,9105
  177,3558.834,21.260,9105
  178,3578.763,19.929,9105
  179,3598.225,19.462,9103
  180,3618.598,20.373,9103
  181,3638.646,20.048,9103
  182,3659.319,20.673,9103
  183,3679.792,20.473,9085
  184,3700.218,20.426,8770
  185,3720.505,20.287,8612
  186,3741.069,20.564,8481
  187,3761.347,20.278,8472
  188,3781.055,19.708,8472
  189,3801.283,20.228,8477
  190,3822.079,20.796,8483
  191,3841.691,19.612,8485
  192,3862.211,20.520,8497
  193,3882.402,20.191,8501
  194,3902.965,20.563,8504
  195,3922.710,19.745,8511
  196,3943.039,20.329,8516
  197,3963.124,20.085,8522
  198,3983.596,20.472,8533
  199,4003.573,19.977,8538
  200,4023.510,19.937,8548
  201,4043.712,20.202,8556
  202,4063.767,20.055,8564
  203,4084.325,20.558,8568
  204,4104.242,19.917,8574
  205,4124.708,20.466,8589
  206,4145.127,20.419,8598
  207,4165.511,20.384,8602
  208,4186.421,20.910,8616
  209,4206.552,20.131,8627
  210,4226.948,20.396,8639
  211,4247.078,20.130,8647
  212,4267.202,20.124,8662
  213,4287.433,20.231,8672
  214,4308.034,20.601,8678
  215,4328.179,20.145,8685
  216,4348.490,20.311,8692
  217,4368.836,20.346,8697
  218,4388.608,19.772,8697
  219,4408.750,20.142,8706
  220,4429.216,20.466,8716
  221,4449.738,20.522,8729
  222,4470.134,20.396,8733
  223,4490.186,20.052,8733
  224,4510.712,20.526,8742
  225,4530.939,20.227,8751
  226,4551.330,20.391,8758
  227,4571.576,20.246,8766
  228,4591.605,20.029,8775
  229,4611.941,20.336,8786
  230,4632.279,20.338,8789
  231,4652.833,20.554,8805
  232,4673.504,20.671,8824
  233,4694.122,20.618,8834
  234,4714.936,20.814,8848
  235,4735.152,20.216,8859
  236,4757.131,21.979,8870
  237,4776.810,19.679,8874
  238,4797.034,20.224,8895
  239,4817.733,20.699,8905
  240,4837.910,20.177,8914
  241,4857.645,19.735,8920
  242,4878.009,20.364,8931
  243,4898.985,20.976,8942
  244,4920.214,21.229,8962
  245,4940.562,20.348,8975
  246,4963.177,22.615,8979
  247,4980.757,17.580,8979
  248,5000.831,20.074,8979
  249,5020.941,20.110,8980
  250,5041.253,20.312,8980
  251,5060.898,19.645,8980
  252,5080.916,20.018,8980
  253,5101.758,20.842,8981
  254,5121.631,19.873,8981
  255,5141.796,20.165,8981
  256,5162.274,20.478,8985
  257,5182.101,19.827,8985
  258,5202.006,19.905,8985
  259,5221.836,19.830,8985
  260,5241.799,19.963,8985
  261,5261.645,19.846,8987
  262,5281.510,19.865,8987
  263,5301.422,19.912,8993
  264,5321.647,20.225,9003
  265,5341.797,20.150,9006
  266,5361.625,19.828,9007
  267,5382.251,20.626,9017
  268,5401.773,19.522,9024
  269,5421.959,20.186,9032
  270,5442.143,20.184,9041
  271,5462.914,20.771,9056
  272,5483.057,20.143,9062
  273,5503.406,20.349,9072
  274,5523.796,20.390,9081
  275,5544.436,20.640,9092
  276,5564.228,19.792,9096
  277,5584.360,20.132,9096
  278,5604.543,20.183,9103
  279,5625.000,20.457,9109
  280,5645.517,20.517,9118
  281,5665.530,20.013,9128
  282,5685.709,20.179,9139
  283,5705.849,20.140,9147
  284,5725.925,20.076,9156
  285,5746.426,20.501,9163
  286,5766.539,20.113,9172
  287,5787.306,20.767,9181
  288,5807.806,20.500,9191
  289,5827.833,20.026,9197
  290,5848.146,20.313,9216
  291,5868.095,19.950,9228
  292,5888.388,20.293,9239
  293,5908.469,20.081,9248
  294,5928.925,20.456,9257
  295,5948.786,19.861,9266
  296,5968.813,20.027,9273
  297,5988.945,20.132,9284
  298,6009.077,20.132,9288
  299,6029.309,20.232,9296
  300,6049.360,20.051,9305
  301,6069.893,20.533,9317
  302,6090.188,20.295,9328
  303,6110.245,20.057,9331
  304,6130.253,20.008,9335
  305,6151.210,20.957,9340
  306,6172.110,20.900,9351
  307,6192.607,20.497,9364
  308,6212.698,20.091,9372
  309,6232.791,20.092,9381
  310,6253.145,20.354,9385
  311,6275.426,22.282,9399
  312,6295.564,20.138,9408
  313,6316.236,20.672,9417
  314,6336.663,20.427,9428
  315,6358.076,21.413,9446
  316,6378.639,20.563,9454
  317,6399.427,20.788,9461
  318,6419.772,20.345,9470
  319,6440.223,20.451,9481
  320,6460.741,20.518,9489
  321,6480.028,19.287,9489
  322,6500.050,20.022,9489
  323,6519.834,19.784,9489
  324,6540.104,20.269,9489
  325,6560.296,20.193,9489
  326,6580.124,19.827,9489
  327,6600.067,19.944,9489
  328,6620.059,19.992,9489
  329,6640.742,20.683,9489
  330,6660.483,19.741,9497
  331,6680.436,19.952,9506
  332,6700.637,20.202,9506
  333,6721.087,20.450,9515
  334,6740.885,19.798,9522
  335,6760.728,19.842,9531
  336,6781.350,20.623,9541
  337,6801.417,20.067,9551
  338,6821.727,20.309,9563
  339,6841.597,19.871,9575
  340,6862.055,20.458,9587
  341,6881.835,19.780,9595
  342,6901.579,19.744,9602
  343,6922.095,20.516,9612
  344,6942.185,20.089,9618
  345,6962.326,20.142,9626
  346,6982.490,20.164,9636
  347,7002.980,20.490,9641
  348,7023.711,20.731,9652
  349,7043.565,19.854,9661
  350,7063.528,19.963,9670
  351,7083.682,20.154,9680
  352,7103.987,20.305,9691
  353,7124.482,20.495,9703
  354,7145.221,20.739,9716
  355,7165.968,20.747,9716
  356,7185.613,19.645,9716
  357,7205.422,19.809,9716
  358,7225.077,19.655,9716
  359,7245.083,20.005,9727
  360,7265.048,19.966,9732
  361,7284.989,19.941,9743
  362,7305.364,20.375,9750
  363,7325.883,20.519,9760
  364,7346.032,20.149,9772
  365,7366.403,20.371,9780
  366,7386.649,20.246,9790
  367,7407.593,20.944,9790
  368,7428.540,20.946,9804
  369,7448.429,19.890,9811
  370,7468.666,20.236,9823
  371,7488.970,20.305,9833
  372,7509.859,20.889,9843
  373,7529.890,20.031,9846
  374,7550.400,20.510,9857
  375,7571.054,20.654,9865
  376,7590.764,19.710,9865
  377,7611.140,20.376,9865
  378,7631.200,20.060,9865
  379,7651.290,20.089,9865
  380,7671.297,20.008,9865
  381,7691.192,19.895,9865
  382,7711.311,20.118,9865
  383,7731.307,19.997,9865
  384,7751.221,19.914,9865
  385,7771.250,20.029,9864
  386,7791.280,20.030,9864
  387,7811.496,20.215,9864
  388,7831.515,20.020,9864
  389,7851.945,20.430,9864
  390,7871.767,19.821,9864
  391,7891.714,19.948,9864
  392,7912.163,20.448,9864
  393,7932.359,20.197,9864
  394,7952.367,20.008,9864
  395,7972.759,20.392,9864
  396,7992.744,19.985,9864
  397,8012.835,20.091,9864
  398,8032.937,20.101,9864
  399,8052.860,19.924,9864
  400,8073.001,20.141,9864
  401,8092.951,19.950,9864
  402,8112.990,20.039,9864
  403,8133.040,20.049,9864
  404,8153.330,20.290,9864
  405,8173.439,20.110,9864
  406,8193.709,20.270,9864
  407,8213.770,20.060,9864
  408,8233.923,20.153,9864
  409,8254.134,20.211,9864
  410,8274.609,20.476,9864
  411,8294.726,20.116,9864
  412,8314.888,20.162,9864
