Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,4921
    2,13.907,13.907,5826
    3,26.867,12.960,5826
    4,39.839,12.972,5826
    5,52.954,13.115,5829
    6,66.099,13.145,5829
    7,79.527,13.428,5835
    8,92.650,13.123,5835
    9,105.889,13.239,5835
   10,119.000,13.111,5835
   11,132.367,13.367,5835
   12,146.155,13.788,5835
   13,159.132,12.977,5835
   14,172.343,13.211,5835
   15,185.600,13.257,5835
   16,198.966,13.366,5835
   17,212.417,13.451,5835
   18,225.831,13.414,5835
   19,238.819,12.988,5835
   20,252.040,13.221,5836
   21,265.237,13.197,5836
   22,278.412,13.175,5836
   23,291.532,13.120,5836
   24,304.681,13.149,5836
   25,322.290,17.609,5836
   26,334.593,12.303,5836
   27,347.642,13.049,5836
   28,360.979,13.337,5836
   29,374.164,13.185,5836
   30,387.163,12.999,5836
   31,400.487,13.324,5839
   32,413.644,13.157,5839
   33,426.818,13.174,5839
   34,440.284,13.466,5840
   35,453.530,13.246,5840
   36,466.889,13.359,5842
   37,479.944,13.055,5843
   38,493.638,13.694,5843
   39,506.568,12.930,5843
   40,520.207,13.639,5848
   41,533.320,13.113,5848
   42,546.615,13.295,5856
   43,559.863,13.248,5856
   44,573.369,13.506,5856
   45,586.374,13.005,5850
   46,599.824,13.450,5846
   47,612.710,12.886,5848
   48,626.152,13.442,5848
   49,639.938,13.786,5848
   50,653.206,13.268,5851
   51,666.915,13.709,5854
   52,680.396,13.481,5857
   53,693.675,13.279,5861
   54,707.164,13.489,5869
   55,720.803,13.639,5869
   56,734.439,13.636,5872
   57,748.031,13.592,5875
   58,761.184,13.153,5878
   59,774.638,13.454,5878
   60,787.880,13.242,5878
   61,801.540,13.660,5878
   62,815.504,13.964,5878
   63,829.081,13.577,5886
   64,842.483,13.402,5887
   65,855.676,13.193,5887
   66,869.050,13.374,5888
   67,883.926,14.876,5893
   68,895.394,11.468,5893
   69,908.631,13.237,5894
   70,921.930,13.299,5894
   71,935.066,13.136,5897
   72,948.451,13.385,5901
   73,961.881,13.430,5902
   74,975.318,13.437,5905
   75,988.415,13.097,5905
   76,1001.424,13.009,5918
   77,1014.942,13.518,5918
   78,1028.094,13.152,5929
   79,1041.711,13.617,5936
   80,1054.812,13.101,5938
   81,1068.235,13.423,5943
   82,1081.277,13.042,5949
   83,1094.351,13.074,5949
   84,1107.470,13.119,5954
   85,1120.761,13.291,5955
   86,1134.037,13.276,5957
   87,1147.378,13.341,5963
   88,1160.905,13.527,5968
   89,1174.075,13.170,5968
   90,1187.343,13.268,5968
   91,1200.704,13.361,5973
   92,1213.902,13.198,5979
   93,1227.441,13.539,5982
   94,1240.507,13.066,5982
   95,1253.623,13.116,5984
   96,1266.989,13.366,5984
   97,1280.214,13.225,5990
   98,1293.343,13.129,5994
   99,1306.726,13.383,5994
  100,1320.029,13.303,5997
  101,1333.560,13.531,5997
  102,1346.689,13.129,6001
  103,1359.928,13.239,6006
  104,1373.613,13.685,6006
  105,1387.185,13.572,6007
  106,1400.286,13.101,6011
  107,1413.542,13.256,6014
  108,1426.726,13.184,6014
  109,1439.676,12.950,6019
  110,1452.764,13.088,6019
  111,1466.204,13.440,6019
  112,1479.193,12.989,6019
  113,1492.510,13.317,6022
  114,1505.819,13.309,6022
  115,1519.032,13.213,6025
  116,1532.270,13.238,6026
  117,1545.374,13.104,6028
  118,1558.374,13.000,6031
  119,1571.454,13.080,6034
  120,1584.922,13.468,6036
  121,1597.935,13.013,6037
  122,1611.111,13.176,6042
  123,1624.133,13.022,6042
  124,1637.389,13.256,6043
  125,1650.389,13.000,6046
  126,1663.553,13.164,6046
  127,1676.715,13.162,6046
  128,1689.725,13.010,6047
  129,1702.907,13.182,6047
  130,1716.139,13.232,6047
  131,1729.317,13.178,6051
  132,1742.448,13.131,6053
  133,1755.609,13.161,6053
  134,1769.105,13.496,6057
  135,1782.316,13.211,6061
  136,1795.695,13.379,6064
  137,1808.559,12.864,6064
  138,1821.950,13.391,6072
  139,1834.803,12.853,6073
  140,1847.905,13.102,6073
  141,1861.265,13.360,6074
  142,1874.549,13.284,6074
  143,1887.684,13.135,6075
  144,1900.820,13.136,6079
  145,1913.765,12.945,6082
  146,1926.914,13.149,6086
  147,1940.005,13.091,6089
  148,1953.285,13.280,6091
  149,1966.582,13.297,6094
  150,1979.687,13.105,6095
  151,1992.847,13.160,6098
  152,2005.992,13.145,6101
  153,2019.431,13.439,6107
  154,2032.539,13.108,6111
  155,2045.493,12.954,6111
  156,2058.586,13.093,6112
  157,2071.730,13.144,6114
  158,2084.843,13.113,6115
  159,2098.292,13.449,6120
  160,2111.355,13.063,6123
