Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,3568
    2, 2.891, 2.891,5765
    3, 8.744, 5.853,5765
    4,12.655, 3.911,5765
    5,17.277, 4.622,5765
    6,22.076, 4.799,5765
    7,26.847, 4.771,5765
    8,31.626, 4.779,5765
    9,36.408, 4.782,5765
   10,41.013, 4.605,5765
   11,45.833, 4.820,5765
   12,50.602, 4.769,5765
   13,55.469, 4.867,5765
   14,60.069, 4.600,5765
   15,65.000, 4.931,5765
   16,69.642, 4.642,5765
   17,74.480, 4.838,5765
   18,79.325, 4.845,5765
   19,84.243, 4.918,5765
   20,88.874, 4.631,5765
   21,93.884, 5.010,5765
   22,98.682, 4.798,5765
   23,103.428, 4.746,5765
   24,107.966, 4.538,5765
   25,112.969, 5.003,5765
   26,117.651, 4.682,5765
   27,122.510, 4.859,5765
   28,127.222, 4.712,5765
   29,132.093, 4.871,5765
   30,137.002, 4.909,5765
   31,141.706, 4.704,5765
   32,146.540, 4.834,5765
   33,151.402, 4.862,5765
   34,156.058, 4.656,5765
   35,160.912, 4.854,5765
   36,165.682, 4.770,5765
   37,170.550, 4.868,5765
   38,175.280, 4.730,5765
   39,180.114, 4.834,5765
   40,184.827, 4.713,5765
   41,189.700, 4.873,5765
   42,194.501, 4.801,5765
   43,199.155, 4.654,5765
   44,204.008, 4.853,5765
   45,208.859, 4.851,5765
   46,213.617, 4.758,5765
   47,218.844, 5.227,5765
   48,223.404, 4.560,5765
   49,228.226, 4.822,5765
   50,233.116, 4.890,5765
   51,238.363, 5.247,5765
   52,243.371, 5.008,5765
   53,248.355, 4.984,5765
   54,253.053, 4.698,5765
   55,257.843, 4.790,5765
   56,262.620, 4.777,5765
   57,267.561, 4.941,5765
   58,272.356, 4.795,5765
   59,277.193, 4.837,5765
   60,281.841, 4.648,5765
   61,286.769, 4.928,5765
   62,291.513, 4.744,5765
   63,296.243, 4.730,5765
   64,301.033, 4.790,5765
   65,305.836, 4.803,5765
   66,310.665, 4.829,5765
   67,315.460, 4.795,5765
   68,320.202, 4.742,5765
   69,324.979, 4.777,5765
   70,329.830, 4.851,5765
   71,334.667, 4.837,5765
   72,339.601, 4.934,5765
   73,344.338, 4.737,5765
   74,349.074, 4.736,5765
   75,353.943, 4.869,5765
   76,358.653, 4.710,5765
   77,363.505, 4.852,5765
   78,368.366, 4.861,5765
   79,373.180, 4.814,5765
   80,377.837, 4.657,5765
   81,382.832, 4.995,5765
   82,387.543, 4.711,5765
   83,392.479, 4.936,5765
   84,397.262, 4.783,5765
   85,402.234, 4.972,5765
   86,407.015, 4.781,5765
   87,411.757, 4.742,5765
   88,416.599, 4.842,5765
   89,421.346, 4.747,5765
   90,426.237, 4.891,5765
   91,431.101, 4.864,5765
   92,435.938, 4.837,5765
   93,440.737, 4.799,5765
   94,445.573, 4.836,5765
   95,450.370, 4.797,5765
   96,455.164, 4.794,5765
   97,460.067, 4.903,5765
   98,464.869, 4.802,5765
   99,469.745, 4.876,5765
  100,474.412, 4.667,5765
  101,479.449, 5.037,5765
  102,484.122, 4.673,5765
  103,488.902, 4.780,5765
  104,493.657, 4.755,5765
  105,498.702, 5.045,5765
  106,503.230, 4.528,5765
  107,508.132, 4.902,5765
  108,512.873, 4.741,5765
  109,517.806, 4.933,5765
  110,522.485, 4.679,5765
  111,527.486, 5.001,5765
  112,532.181, 4.695,5765
  113,537.035, 4.854,5765
  114,541.829, 4.794,5765
  115,546.597, 4.768,5765
  116,551.422, 4.825,5765
  117,556.289, 4.867,5765
  118,561.100, 4.811,5765
  119,565.907, 4.807,5765
  120,570.697, 4.790,5765
  121,575.618, 4.921,5765
  122,580.415, 4.797,5765
  123,585.290, 4.875,5765
  124,590.022, 4.732,5765
  125,594.888, 4.866,5765
  126,599.627, 4.739,5765
  127,604.488, 4.861,5765
  128,609.309, 4.821,5765
  129,614.166, 4.857,5765
  130,618.985, 4.819,5765
  131,623.814, 4.829,5765
  132,628.631, 4.817,5765
  133,633.409, 4.778,5765
  134,638.144, 4.735,5765
